wnumber,firstname,lastname,email,major,course,termcode,city,state,zip
"W0000001","Susan","Cortez","Info Systems and Technologies","Susan.Cortez@mail.weber.edu","CS 4650","200910","Farr West","CO","84009"
"W0000001","Susan","Cortez","Info Systems and Technologies","Susan.Cortez@mail.weber.edu","CS 2140","200530","Farr West","CO","84009"
"W0000002","Zariah","King","Electronics Engineering Tech","Zariah.King@mail.weber.edu","CS 3030","200520","Trenton","MT","84004"
"W0000002","Zariah","King","Electronics Engineering Tech","Zariah.King@mail.weber.edu","CS 3750","201030","Trenton","MT","84004"
"W0000002","Zariah","King","Electronics Engineering Tech","Zariah.King@mail.weber.edu","CS 3540","200910","Trenton","MT","84004"
"W0000003","Jadon","Peck","General Studies","Jadon.Peck@mail.weber.edu","CS 3040","201010","Orem","MT","84003"
"W0000004","Macey","Hoover","Business Admin/Management","Macey.Hoover@mail.weber.edu","CS 3730","201010","Woods Cross","AZ","84007"
"W0000005","Javier","Proctor","Computer Sci/Customized","Javier.Proctor@mail.weber.edu","CS 1022","200610","Herriman","ID","84011"
"W0000005","Javier","Proctor","Computer Sci/Customized","Javier.Proctor@mail.weber.edu","CS 4110","200830","Herriman","ID","84011"
"W0000006","Emmalee","Haley","Computer and Network Security","Emmalee.Haley@mail.weber.edu","CS 3730","200920","Altamont","MT","84006"
"W0000006","Emmalee","Haley","Computer and Network Security","Emmalee.Haley@mail.weber.edu","CS 3705","200510","Altamont","MT","84006"
"W0000007","Layne","Frost","Business Administration","Layne.Frost@mail.weber.edu","CS 3540","200810","Ophir","UT","84010"
"W0000007","Layne","Frost","Business Administration","Layne.Frost@mail.weber.edu","CS 2420","200610","Ophir","UT","84010"
"W0000007","Layne","Frost","Business Administration","Layne.Frost@mail.weber.edu","CS 4800","201020","Ophir","UT","84010"
